Cancerous,Size,Weight
1,14,18
1,10,8
0,23,23
1,3,15
0,25,9
1,18,38
1,3,29
1,26,1
1,24,0
1,0,50
0,39,47
1,6,9
1,37,1
1,17,0
1,9,16
1,24,9
0,31,8
1,40,2
0,39,13
0,16,42
0,28,34
0,14,24
1,17,6
0,36,40
1,24,6
0,33,32
1,29,0
0,15,26
1,19,13
0,9,46
0,39,41
1,2,39
0,38,29
1,10,12
0,14,42
1,22,20
0,5,35
0,40,32
0,32,17
1,37,4
0,32,39
0,12,41
0,23,4
0,30,39
0,6,46
0,26,43
0,22,37
0,39,22
0,19,38
1,10,16
0,28,38
1,12,0
0,28,31
0,25,48
1,16,20
1,3,16
0,12,47
1,11,19
1,2,21
1,14,9
1,4,22
0,28,41
0,38,14
0,37,5
1,28,13
0,32,46
0,36,39
0,31,31
0,29,29
0,34,41
1,15,28
1,9,11
0,10,41
0,1,38
1,5,10
1,10,25
1,9,11
0,31,18
0,19,26
0,29,33
0,34,27
0,39,26
0,22,37
0,4,45
0,18,49
1,24,7
1,33,14
1,19,7
1,3,0
0,34,47
0,0,42
1,16,30
1,0,1
1,8,14
1,3,9
1,22,11
0,36,38
1,1,22
0,35,41
0,26,8
1,14,18
0,36,27
1,24,5
1,4,11
1,25,0
0,22,30
1,10,1
1,33,11
0,33,39
0,33,36
1,8,27
0,24,43
1,11,18
0,31,34
0,22,36
1,6,23
0,29,30
0,12,36
0,20,48
0,32,46
0,34,13
1,29,0
0,33,22
1,11,18
0,27,49
1,18,10
1,31,10
0,38,24
0,31,42
1,16,8
0,33,15
0,23,14
1,16,11
1,22,21
1,1,16
0,40,0
0,38,48
0,11,41
1,16,12
1,20,23
1,14,25
0,25,35
0,30,40
0,14,36
1,5,14
0,32,17
1,18,31
0,25,49
0,6,33
1,1,18
1,18,8
0,17,28
1,9,30
0,35,23
1,18,28
1,21,22
0,31,49
1,5,8
1,28,19
1,21,19
0,35,14
0,28,44
1,36,3
0,29,12
0,18,25
0,17,11
1,29,9
0,37,25
0,4,40
0,40,46
1,7,22
0,10,34
0,17,42
1,0,42
0,6,20
0,30,33
0,35,31
0,29,5
0,39,42
1,2,10
0,12,49
0,21,49
1,14,17
1,10,31
0,36,17
1,3,30
0,13,34
0,35,29
0,31,20
0,36,39
0,27,17
0,35,42
0,30,32
1,18,26
0,3,39
1,19,18
1,15,3
0,15,32
0,22,35
1,16,20
0,36,7
0,36,16
1,30,36
1,32,2
1,5,17
1,28,6
0,35,40
0,40,32
1,24,17
0,33,34
0,36,25
1,11,18
0,4,24
